SK_ID_CURR,TARGET,EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,CC_CNT_DRAWINGS_CURRENT_MAX,BURO_DAYS_CREDIT_MEAN,CC_AMT_BALANCE_MEAN,CC_AMT_TOTAL_RECEIVABLE_MEAN,CC_AMT_RECIVABLE_MEAN,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,CC_CNT_DRAWINGS_CURRENT_MEAN,BURO_MONTHS_BALANCE_SIZE_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,DAYS_BIRTH,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_DAYS_CREDIT_MIN,DAYS_EMPLOYED,PREV_CODE_REJECT_REASON_XAP_MEAN,CC_AMT_INST_MIN_REGULARITY_MEAN
100043,0.0,0.7544061731797895,0.6816988025574287,0.8427634659543568,0.0606060606060606,10.0,-1904.0,208572.6,208397.4490909091,208397.4490909091,203647.54772727276,0.3636363636363636,2.0,1.0,-17199,0.5555555555555556,0.0,-2639.0,-768.0,0.4444444444444444,11279.115
100100,0.0,0.8245949709919925,0.495765140717496,0.4476751393608083,0.1914893617021276,2.0,-1866.4,40102.36085106383,40075.16696808511,40075.16696808511,38209.46505319149,0.2127659574468085,32.4,1.0,-15909,0.0,0.0,-2830.0,-1094.0,1.0,2713.0679032258063
100131,0.0,0.4525335592581747,0.7079724741176917,0.3394026084270504,1.625,10.0,-690.5,239297.514375,236263.53,236263.53,229597.291875,3.125,21.0,0.0,-13830,0.0,1.0,-875.0,-1169.0,1.0,10370.17875
100139,0.0,0.0963186927645401,0.6014083651352106,0.5677754906901958,1.0666666666666669,7.0,-733.5,192715.0356,192650.8272,192650.8272,181626.3552,1.2666666666666666,8.0,0.5,-13286,0.2727272727272727,0.5,-1252.0,-2305.0,0.6363636363636364,9687.83837837838
100145,0.0,0.7394117535524816,0.7464864055627681,0.6470448716896019,0.0,0.0,-1489.7142857142858,1614.42984375,1587.91171875,1587.91171875,1545.47484375,0.0,46.285714285714285,0.5714285714285714,-16282,0.1666666666666666,0.4285714285714285,-2857.0,-4375.0,0.8333333333333334,254.476875
100148,0.0,0.2115507642052577,0.6605593694772599,0.6177157988717764,0.3382352941176471,7.0,-1396.5625,19448.222426470587,19345.552279411764,19345.552279411764,18418.26507352941,0.4411764705882353,40.6875,0.75,-16340,0.0,0.25,-2811.0,-8647.0,1.0,2553.7656818181817
100188,0.0,0.5460231970049609,0.7024628947445616,0.7280918134588762,2.4285714285714284,10.0,-1780.75,236086.8165,234359.163,234359.163,231015.429,1.9,52.5,0.875,-15323,0.0,0.125,-2789.0,-5785.0,1.0,8379.675
100193,0.0,0.5082869913916046,0.7488544429116339,0.7311052466018223,0.0,1.0,-1328.909090909091,1845.8624117647057,1817.2503529411763,1817.2503529411763,1767.3019411764708,0.0117647058823529,25.363636363636363,0.6363636363636364,-17879,0.1818181818181818,0.3636363636363636,-2699.0,-940.0,0.8181818181818182,210.20410714285717
100218,0.0,0.3376727217405312,0.7494092451416423,0.667166655817305,1.3846153846153846,14.0,-524.25,680653.6823076924,672350.5488461538,672350.5488461538,653280.9923076923,4.846153846153846,12.25,0.25,-13210,0.0,0.75,-753.0,-225.0,1.0,30726.99346153846
100284,0.0,0.7583930617144343,0.3282689967736757,0.6924545824414103,0.0,15.0,-1843.8,9632.536499999998,9498.562499999998,9498.562499999998,9383.586,0.8,26.0,0.8,-14445,0.0,0.2,-2915.0,-3218.0,1.0,671.8624137931034
100302,0.0,0.0516817674367294,0.4794306372473876,0.3418505435993493,0.45,21.0,-528.3846153846154,155272.869,154967.769,154967.769,151742.11275,6.5,11.846153846153848,0.5384615384615384,-9105,0.2,0.4615384615384615,-797.0,-482.0,0.8,7460.205749999999
100307,0.0,0.4489622731076524,0.6803211845067775,0.5725847271056428,0.3804347826086957,4.0,-1269.0,21848.63527173913,21809.399673913045,21809.399673913045,20619.424565217392,0.3804347826086957,42.15384615384615,0.6923076923076923,-16546,0.0714285714285714,0.3076923076923077,-2885.0,-1480.0,0.9285714285714286,1210.4401648351648
100316,0.0,0.6894791426446275,0.5759247800821108,0.5676236351849678,0.1411764705882353,3.0,-1622.5555555555557,21034.346294117648,21028.07488235294,21028.07488235294,20012.71182352941,0.1529411764705882,45.44444444444444,0.8888888888888888,-15076,0.0,0.1111111111111111,-2722.0,-4917.0,1.0,1450.3478571428573
100403,0.0,0.4866531565147181,0.3241738848541972,0.1370623458708673,3.571428571428572,24.0,-1179.0,221426.94375,219267.50625,219267.50625,216493.41375,6.25,26.33333333333333,0.5333333333333333,-10615,0.0,0.4666666666666667,-2786.0,-1496.0,1.0,12633.46875
